temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_sum,windspeed_10m_max,et0_fao_evapotranspiration,date
31.5,21.6,26.8,0.0,17.6,6.16,2025-08-09
30.5,19.1,25.1,0.0,15.4,5.86,2025-08-10
29.2,18.2,23.4,2.0,18.4,5.24,2025-08-11
27.5,16.7,22.3,0.0,24.1,6.34,2025-08-12
29.0,16.2,22.9,0.0,17.8,6.21,2025-08-13
30.6,16.9,23.7,0.0,19.1,6.04,2025-08-14
26.9,17.8,22.4,0.0,16.9,5.82,2025-08-15
28.8,15.9,23.1,0.0,12.0,4.68,2025-08-16
32.0,18.4,26.0,0.0,12.9,5.14,2025-08-17
33.2,20.0,26.6,0.0,18.2,6.45,2025-08-18
27.7,17.2,22.7,0.0,19.3,5.43,2025-08-19
30.1,17.3,24.4,0.0,11.9,5.64,2025-08-20
31.3,20.7,25.7,0.0,19.2,6.17,2025-08-21
33.4,18.6,26.3,0.0,12.7,5.56,2025-08-22
32.3,21.6,25.7,0.3,21.7,5.81,2025-08-23
27.1,18.0,22.3,0.1,13.8,4.68,2025-08-24
23.3,16.5,19.5,0.0,17.1,4.6,2025-08-25
24.6,12.9,19.2,0.0,11.3,3.92,2025-08-26
26.8,14.8,21.2,0.0,14.3,4.86,2025-08-27
29.1,15.9,22.9,0.0,15.0,6.31,2025-08-28
31.5,18.0,24.9,0.0,19.6,7.67,2025-08-29
33.1,20.0,26.8,0.0,26.9,8.67,2025-08-30
32.7,21.1,27.2,0.0,17.2,6.12,2025-08-31
32.2,19.6,25.8,0.0,18.5,5.19,2025-09-01
28.6,19.8,23.9,5.5,14.6,3.6,2025-09-02
27.9,19.3,22.8,0.0,13.9,4.62,2025-09-03
24.0,14.9,19.4,0.0,12.6,4.09,2025-09-04
23.0,13.1,18.1,0.0,13.6,3.97,2025-09-05
24.5,13.4,19.1,0.0,13.8,4.3,2025-09-06
27.5,14.6,21.0,0.0,14.1,4.86,2025-09-07
29.1,18.0,23.3,0.2,16.8,5.23,2025-09-08
27.0,18.2,22.3,1.3,24.0,4.23,2025-09-09
23.7,17.6,20.0,0.8,20.5,3.82,2025-09-10
23.6,13.5,18.6,0.0,19.1,5.35,2025-09-11
25.0,12.1,18.8,0.0,19.9,5.03,2025-09-12
19.9,11.2,15.8,0.0,21.8,3.93,2025-09-13
24.1,12.2,18.2,0.0,21.9,5.02,2025-09-14
24.9,13.4,19.2,0.0,20.6,5.29,2025-09-15
23.4,12.7,18.1,0.0,19.9,4.97,2025-09-16
24.4,12.8,18.5,0.0,18.2,5.32,2025-09-17
24.2,15.1,17.6,7.7,18.9,2.95,2025-09-18
21.5,13.9,16.4,11.8,16.7,2.4,2025-09-19
20.3,14.2,16.6,1.3,17.2,2.7,2025-09-20
22.3,12.0,16.8,0.0,13.0,2.98,2025-09-21
23.2,11.1,17.3,0.0,10.9,3.12,2025-09-22
26.7,13.4,19.6,0.0,8.6,3.19,2025-09-23
27.1,12.9,19.2,0.0,9.7,3.29,2025-09-24
18.5,10.6,14.1,0.5,24.5,3.56,2025-09-25
15.8,5.9,10.5,0.0,17.1,3.21,2025-09-26
15.4,5.8,10.7,0.0,14.1,2.79,2025-09-27
16.3,5.5,11.2,0.0,13.2,2.97,2025-09-28
15.2,9.2,11.9,1.3,24.3,2.52,2025-09-29
11.4,8.1,10.1,1.2,24.8,2.27,2025-09-30
13.1,7.8,10.4,0.2,22.6,2.85,2025-10-01
16.5,7.8,12.2,0.0,21.5,3.42,2025-10-02
18.5,9.1,13.4,0.0,27.7,3.62,2025-10-03
21.4,10.1,15.3,0.0,25.1,4.14,2025-10-04
15.6,11.9,13.9,10.3,16.2,0.92,2025-10-05
18.6,9.8,13.6,0.5,10.9,1.44,2025-10-06
20.6,10.4,15.0,0.0,18.6,2.63,2025-10-07
22.2,12.2,16.4,0.2,24.4,3.42,2025-10-08
17.0,13.7,15.0,8.7,16.0,0.67,2025-10-09
17.0,12.4,14.1,4.3,16.1,1.31,2025-10-10
15.0,10.4,12.4,0.2,19.1,1.56,2025-10-11
15.4,8.2,11.6,0.3,13.8,1.55,2025-10-12
14.2,8.4,11.1,1.9,19.6,1.24,2025-10-13
11.2,3.6,7.9,0.0,10.6,1.47,2025-10-14
12.3,6.2,8.6,0.4,10.8,1.48,2025-10-15
11.3,3.2,6.9,0.0,12.6,1.5,2025-10-16
12.3,5.4,8.5,0.0,11.5,1.14,2025-10-17
13.6,3.3,8.8,0.5,11.8,1.77,2025-10-18
14.8,7.5,10.4,1.5,10.9,1.1,2025-10-19
10.1,6.3,8.5,1.3,22.7,1.1,2025-10-20
9.7,5.6,7.4,2.0,18.7,0.84,2025-10-21
12.1,5.9,8.4,0.5,16.6,1.15,2025-10-22
13.8,4.4,8.6,0.0,15.7,1.55,2025-10-23
16.9,7.4,11.6,0.0,15.1,1.07,2025-10-24
15.6,9.8,11.6,8.1,20.5,0.83,2025-10-25
14.3,6.7,9.8,0.0,9.4,1.37,2025-10-26
14.9,6.6,10.5,7.4,20.9,1.16,2025-10-27
13.9,9.2,11.4,5.4,21.5,1.34,2025-10-28
13.0,7.8,10.0,1.4,16.3,1.28,2025-10-29
13.1,6.9,9.5,1.3,19.1,1.25,2025-10-30
15.2,6.1,10.6,1.3,21.0,1.0,2025-10-31
12.6,6.4,9.6,0.0,20.1,1.13,2025-11-01
11.1,7.3,9.0,0.0,9.6,0.74,2025-11-02
11.0,4.6,7.4,0.0,16.5,1.31,2025-11-03
12.5,4.4,8.1,0.0,18.2,1.27,2025-11-04
11.9,6.8,9.1,0.0,12.4,0.6,2025-11-05
12.1,8.8,9.9,0.0,14.4,0.51,2025-11-06
12.4,7.9,9.9,0.0,12.4,0.59,2025-11-07
13.9,7.2,9.8,0.0,11.0,1.06,2025-11-08
13.1,6.1,8.7,0.0,11.2,0.94,2025-11-09
12.1,7.6,10.0,0.4,11.6,0.57,2025-11-10
14.5,9.2,10.9,0.0,13.9,0.75,2025-11-11
12.0,7.2,9.6,1.8,12.3,0.53,2025-11-12
10.9,5.6,8.9,4.0,12.5,0.71,2025-11-13
11.1,4.8,7.0,0.0,9.5,0.78,2025-11-14
10.2,3.8,6.6,0.0,8.4,0.49,2025-11-15
11.3,5.9,8.0,0.0,10.9,0.41,2025-11-16
14.6,5.8,10.3,0.4,20.4,0.81,2025-11-17
17.9,10.4,13.6,0.0,21.1,1.72,2025-11-18
17.6,11.9,13.8,9.6,27.9,0.98,2025-11-19
12.1,6.7,9.0,0.8,12.3,0.43,2025-11-20
12.6,7.3,8.9,0.0,9.6,0.65,2025-11-21
15.3,7.3,10.2,0.0,12.5,0.97,2025-11-22
12.2,7.6,9.6,0.0,15.2,0.54,2025-11-23
14.6,7.7,10.1,0.1,15.3,0.92,2025-11-24
9.9,3.3,7.0,0.0,9.2,0.56,2025-11-25
8.1,3.3,6.0,0.0,17.0,0.32,2025-11-26
11.1,5.8,7.7,0.0,12.7,0.55,2025-11-27
9.1,4.4,6.1,0.0,12.1,0.48,2025-11-28
6.9,3.2,4.3,0.0,16.4,0.42,2025-11-29
7.8,4.6,5.9,0.0,23.6,0.55,2025-11-30
6.2,4.0,5.1,1.2,20.4,0.47,2025-12-01
5.1,3.2,4.3,0.7,15.5,0.37,2025-12-02
5.6,1.8,3.7,0.0,11.0,0.34,2025-12-03
4.9,2.3,3.7,0.0,14.1,0.6,2025-12-04
4.8,2.1,3.0,0.0,18.0,0.53,2025-12-05
6.9,2.0,4.5,0.1,18.0,0.34,2025-12-06
5.1,-0.1,2.0,0.0,31.3,0.69,2025-12-07
2.0,-0.6,0.7,1.5,27.9,0.56,2025-12-08
3.1,0.0,1.6,2.6,20.9,0.24,2025-12-09
4.2,1.0,2.5,1.9,12.0,0.18,2025-12-10
4.2,0.9,2.3,0.0,9.4,0.31,2025-12-11
5.3,0.6,3.6,4.3,18.4,0.14,2025-12-12
6.1,-3.0,1.1,3.1,30.0,0.94,2025-12-13
-1.9,-5.8,-3.7,0.0,17.7,0.81,2025-12-14
-1.7,-3.8,-2.8,0.0,6.9,0.26,2025-12-15
0.0,-5.3,-3.2,0.2,6.2,0.44,2025-12-16
1.2,-4.1,-1.6,0.0,11.3,0.25,2025-12-17
2.3,-0.4,0.7,0.0,13.2,0.18,2025-12-18
6.2,2.7,4.2,0.1,15.5,0.22,2025-12-19
2.7,-1.5,0.2,0.0,10.3,0.22,2025-12-20
0.6,-1.2,-0.5,0.0,11.0,0.2,2025-12-21
2.8,0.2,1.3,0.0,14.4,0.27,2025-12-22
3.5,0.6,1.6,0.1,11.6,0.34,2025-12-23
0.6,-7.8,-2.0,0.5,13.7,0.45,2025-12-24
-5.3,-11.3,-8.3,0.0,10.3,0.53,2025-12-25
-2.1,-7.8,-4.4,3.2,27.4,0.34,2025-12-26
1.8,-5.4,-1.5,0.0,15.3,0.34,2025-12-27
0.7,-3.0,-0.8,5.8,19.8,0.21,2025-12-28
0.0,-2.5,-1.3,1.8,18.8,0.26,2025-12-29
0.2,-3.4,-1.6,1.0,24.8,0.31,2025-12-30
-2.7,-8.9,-5.0,0.4,18.8,0.33,2025-12-31
-5.3,-8.1,-6.8,0.0,14.2,0.24,2026-01-01
0.9,-9.5,-4.3,0.3,25.3,0.36,2026-01-02
4.2,-0.3,1.2,0.3,29.7,0.71,2026-01-03
5.7,-0.3,2.1,14.8,35.0,0.41,2026-01-04
8.4,0.9,4.0,5.5,30.1,0.36,2026-01-05
2.8,0.3,1.4,3.3,22.0,0.23,2026-01-06
7.1,0.7,2.7,0.0,14.9,0.49,2026-01-07
7.8,0.2,3.5,1.2,16.1,0.57,2026-01-08
4.8,0.2,2.3,9.6,25.1,0.37,2026-01-09
4.1,-3.2,0.9,1.3,19.8,0.5,2026-01-10
7.2,-0.3,3.1,7.0,23.8,0.24,2026-01-11
-0.8,-5.8,-3.9,1.5,13.2,0.43,2026-01-12
-4.0,-7.2,-5.8,0.0,11.5,0.6,2026-01-13
-1.6,-7.2,-5.1,0.0,12.6,0.45,2026-01-14
-4.2,-7.3,-5.5,7.4,17.7,0.2,2026-01-15
-5.7,-13.3,-9.6,1.2,23.0,0.29,2026-01-16
-9.0,-12.4,-10.9,0.2,22.9,0.3,2026-01-17
-7.3,-12.1,-10.0,0.0,22.6,0.32,2026-01-18
-11.4,-17.6,-14.5,0.0,21.7,0.36,2026-01-19
-7.7,-18.5,-12.2,0.0,8.4,0.26,2026-01-20
-4.6,-9.6,-7.4,0.0,18.5,0.24,2026-01-21
-5.1,-7.2,-6.4,0.0,16.9,0.25,2026-01-22
-6.1,-7.7,-6.9,3.8,22.0,0.22,2026-01-23
-7.8,-9.8,-8.9,4.1,20.0,0.2,2026-01-24
-9.9,-11.0,-10.5,1.4,15.7,0.22,2026-01-25
-11.0,-15.9,-13.8,0.2,25.8,0.28,2026-01-26
-5.5,-15.8,-11.6,0.6,33.3,0.25,2026-01-27
0.9,-6.2,-2.5,0.0,16.9,0.48,2026-01-28
2.8,-1.6,0.7,0.0,13.9,0.67,2026-01-29
2.2,-3.0,0.0,1.3,19.8,0.43,2026-01-30
4.4,0.5,2.5,8.4,18.4,0.26,2026-01-31
2.6,-10.9,-3.9,1.1,17.6,0.3,2026-02-01
-8.2,-13.8,-10.8,13.4,23.6,0.25,2026-02-02
-8.2,-14.2,-11.8,0.0,21.9,0.45,2026-02-03
-12.9,-19.3,-16.2,0.0,10.6,0.4,2026-02-04
-10.9,-17.8,-14.4,0.0,22.2,0.36,2026-02-05
-2.2,-10.9,-7.0,0.5,29.2,0.45,2026-02-06
0.8,-3.1,-1.1,4.6,24.0,0.28,2026-02-07
2.5,0.4,1.2,4.8,17.6,0.37,2026-02-08
-0.2,-14.5,-7.6,1.7,19.3,0.35,2026-02-09
-7.2,-17.0,-12.8,0.0,9.3,0.42,2026-02-10
-4.8,-16.5,-10.8,0.0,17.8,0.48,2026-02-11
1.7,-6.8,-1.8,0.0,16.0,0.47,2026-02-12
3.5,-0.8,1.4,3.6,21.2,0.43,2026-02-13
10.4,1.7,4.8,5.5,20.1,0.73,2026-02-14
5.4,2.1,3.5,0.0,17.0,0.45,2026-02-15
11.5,1.0,4.8,0.9,30.8,0.8,2026-02-16
4.2,-1.0,1.3,0.0,17.9,0.84,2026-02-17
5.2,0.5,2.6,2.7,29.7,0.59,2026-02-18
4.2,-1.7,0.9,4.8,29.5,0.6,2026-02-19
2.0,-3.5,-0.3,0.1,23.5,0.82,2026-02-20
3.5,-3.2,0.1,1.1,16.4,1.3,2026-02-21
4.3,-5.2,-1.2,0.0,22.8,1.59,2026-02-22
3.3,-4.2,-0.6,0.0,18.6,0.96,2026-02-23
5.7,-0.2,2.5,0.5,13.1,0.69,2026-02-24
8.2,2.3,4.3,6.3,19.3,0.72,2026-02-25
4.6,-1.4,1.8,5.1,20.9,0.51,2026-02-26
2.0,-4.7,-1.4,0.0,22.0,1.08,2026-02-27
5.1,-3.5,0.1,0.0,16.6,1.44,2026-02-28
6.7,-1.8,1.5,10.6,12.1,1.16,2026-03-01
8.7,-0.9,3.4,1.5,19.4,1.56,2026-03-02
6.1,1.2,3.3,0.2,20.0,0.96,2026-03-03
5.4,-0.4,2.3,0.0,17.7,1.14,2026-03-04
5.2,1.8,3.2,2.1,24.6,0.53,2026-03-05
6.2,-0.9,2.4,0.4,15.2,1.2,2026-03-06
1.2,-1.6,-0.6,0.0,11.6,0.99,2026-03-07
8.4,-1.4,2.5,0.0,14.1,1.44,2026-03-08
7.9,0.0,3.5,0.0,13.6,1.52,2026-03-09
11.1,0.2,5.1,0.0,12.8,2.03,2026-03-10
14.5,0.9,7.5,0.0,10.9,2.17,2026-03-11
13.9,2.0,7.5,0.0,15.2,2.36,2026-03-12
9.6,0.6,5.2,0.0,19.8,2.15,2026-03-13
11.1,0.0,5.5,0.0,24.7,2.88,2026-03-14
10.9,1.4,6.2,0.0,29.8,3.06,2026-03-15
11.4,4.9,7.5,0.0,21.7,2.2,2026-03-16
10.9,3.3,6.6,0.4,14.4,1.2,2026-03-17
12.9,2.2,7.5,0.0,11.2,2.02,2026-03-18
13.9,4.2,9.1,0.0,23.7,2.29,2026-03-19
13.0,5.1,8.6,0.0,22.4,2.64,2026-03-20
